# WMO OSCAR/Space 对地观测仪器目录
# 来源: https://space.oscar.wmo.int/api/v1/instruments（42 页）
# 文档: https://space.oscar.wmo.int/apidoc/
# 许可: 可自由使用与再分发，须致谢 WMO；WMO 不对准确性作担保
# 署名: WMO OSCAR/Space, https://space.oscar.wmo.int/
# 生成: python scripts/fetch_oscar_instruments.py   —— 请勿手工编辑
#
# 每行 10 列，制表符分隔: oscar_id	slug	acronym	fullname	agency	instrument_type	classification	wigos_subcomponent	satellite_count	variables
713	eit	EIT	Extreme UV Imaging Telescope	NASA	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'25': {'name': 'Solar coronagraph and radio- spectrograph, at L1', 'wigos-filters': ['Solar coronographic imager at L1']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar EUV spectrometer [from L1, GEO, LEO]', 'Solar EUV imager [from L1, GEO, LEO]']}, '43': {'name': 'Solar coronagraph and heliospheric imagery both on the Earth-Sun line and off the Earth-Sun line (e.g. L5 point)', 'wigos-filters': ['Solar coronographic imager [from L1, GEO, LEO]']}}}}	1	None|None|None
714	uvcs	UVCS	UV Coronagraph and Spectrometer	NASA	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'25': {'name': 'Solar coronagraph and radio- spectrograph, at L1', 'wigos-filters': ['Solar coronographic imager at L1']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar EUV spectrometer [from L1, GEO, LEO]']}, '43': {'name': 'Solar coronagraph and heliospheric imagery both on the Earth-Sun line and off the Earth-Sun line (e.g. L5 point)', 'wigos-filters': ['Solar coronographic imager [from L1, GEO, LEO]']}}}}	1	None|None|None
715	lasco	LASCO	Large Angle and Spectrometric Coronagraph	NASA	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'25': {'name': 'Solar coronagraph and radio- spectrograph, at L1', 'wigos-filters': ['Solar coronographic imager at L1']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar VIS spectrometer [from L1, GEO, LEO]']}, '43': {'name': 'Solar coronagraph and heliospheric imagery both on the Earth-Sun line and off the Earth-Sun line (e.g. L5 point)', 'wigos-filters': ['Solar coronographic imager [from L1, GEO, LEO]']}}}}	1	None|None|None
716	swan	SWAN	Solar Wind Anisotropies	CNES	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'43': {'name': 'Solar coronagraph and heliospheric imagery both on the Earth-Sun line and off the Earth-Sun line (e.g. L5 point)', 'wigos-filters': ['Heliospheric imager [from L1, GEO, LEO]']}}}}	1	None
717	celias	CELIAS	Charge, Element, Isotope Analysis	DLR	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Alpha-particle sensor', 'Solar wind at L1 - Heavy ion sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	
718	costep	COSTEP	Suprathermal & Energetic Particle Analyzer	DLR	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Electron sensor', 'Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Alpha-particle sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	
719	erne	ERNE	Energetic and Relativistic Nuclei and Electron experiment	ESA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Electron sensor', 'Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Alpha-particle sensor', 'Solar wind at L1 - Heavy ion sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	
720	golf	GOLF	Global Oscillations at Low Frequencies	CNES	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'25': {'name': 'Solar coronagraph and radio- spectrograph, at L1', 'wigos-filters': ['Solar radio wave receiver at L1']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar radio wave sensor [from L1, GEO, LEO]']}}}}	1	None
721	virgo	VIRGO	Variability of Solar Irradiance	ESA	Solar irradiance monitor	Earth observation instrument|Passive optical radiometer or spectrometer|Solar irradiance monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['TSI and SSI radiometers (for solar irradiance)']}}}}	1	None
722	mdi	MDI	Michelson Doppler Imager	NASA	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar VIS spectrometer [from L1, GEO, LEO]', 'Solar VIS imager [from L1, GEO, LEO]', 'Solar magnetic field sensor [from L1, GEO, LEO]', 'Solar electric field sensor [from L1, GEO, LEO]', 'Solar velocity field sensor [from L1, GEO, LEO]']}}}}	1	
723	waves	WAVES	Radio and Plasma Wave Experiment	NASA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Plasma density sensor']}, '25': {'name': 'Solar coronagraph and radio- spectrograph, at L1', 'wigos-filters': ['Solar radio wave receiver at L1']}}}}	1	None|None
724	swe	SWE	Solar Wind Experiment	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Electron sensor', 'Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Alpha-particle sensor', 'Solar wind at L1 - Heavy ion sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	
725	sms	SMS	Solar wind ion composition, Mass sensor, and Suprathermal ion composition	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Alpha-particle sensor', 'Solar wind at L1 - Heavy ion sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	
726	epact	EPACT	Energetic Particles Acceleration, Composition, Transport	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Electron sensor', 'Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Alpha-particle sensor', 'Solar wind at L1 - Heavy ion sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	
727	plasma	PLASMA	3-D Plasma and Energetic Particles Experiment	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'24': {'name': 'Solar wind in situ plasma and energetic particles, magnetic field, at L1', 'wigos-filters': ['Solar wind at L1 - Electron sensor', 'Solar wind at L1 - Proton sensor', 'Solar wind at L1 - Plasma density sensor', 'Solar wind at L1 - Plasma temperature sensor', 'Solar wind at L1 - Plasma velocity sensor']}}}}	1	None|None|None|None|None
728	tgrs	TGRS	Transient Gamma Ray Spectrometer	NASA	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	{'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'51': {'name': 'UV spectral imagery (e.g. GEO, HEO, MEO, LEO)', 'wigos-filters': ['Gamma-ray spectrometer [from GEO, HEO, MEO, LEO]']}}}}	1	None
729	konus	KONUS	Gamma Ray Burst Investigation	NASA	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	[]	1	None
731	plastic	PLASTIC	PLAsma and SupraThermal Ion and Composition	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'42': {'name': 'Solar wind in situ plasma and energetic particles and magnetic field off the Earth-Sun line ', 'wigos-filters': ['Proton sensor [at solar orbit, ecliptic, L5]', 'Alpha-particle sensor [at solar orbit, ecliptic, L5]', 'Heavy ion sensor [at solar orbit, ecliptic, L5]', 'Solar wind density sensor [at solar orbit, ecliptic, L5]', 'Solar wind temperature sensor [at solar orbit, ecliptic, L5]', 'Solar wind velocity sensor [at solar orbit, ecliptic, L5]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'50': {'name': 'Solar coronal magnetic field imagery, solar wind beyond L1', 'wigos-filters': ['Proton sensor [from solar orbit, ecliptic, L5]', 'Alpha-particle sensor [from solar orbit, ecliptic, L5]', 'Heavy ion sensor [from solar orbit, ecliptic, L5]', 'Solar wind density sensor [from solar orbit, ecliptic, L5]', 'Solar wind temperature sensor [from solar orbit, ecliptic, L5]', 'Solar wind velocity sensor [from solar orbit, ecliptic, L5]']}}}}	2	
732	s_waves	S/WAVES	STEREO/WAVES	NASA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar radio wave sensor [from solar orbit, ecliptic, L5]']}, '42': {'name': 'Solar wind in situ plasma and energetic particles and magnetic field off the Earth-Sun line ', 'wigos-filters': ['Solar wind density sensor [at solar orbit, ecliptic, L5]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'50': {'name': 'Solar coronal magnetic field imagery, solar wind beyond L1', 'wigos-filters': ['Solar wind density sensor [from solar orbit, ecliptic, L5]']}}}}	2	None|None
733	lyra	LYRA	LYman-alpha RAdiometer	ESA	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar EUV spectrometer [from L1, GEO, LEO]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'51': {'name': 'UV spectral imagery (e.g. GEO, HEO, MEO, LEO)', 'wigos-filters': ['EUV spectrometer [from GEO, HEO, MEO, LEO]']}}}}	1	None|None
734	tpmu	TPMU	Thermal Plasma Measurement Unit	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Ionospheric total electron content sensor [at LEO and cross magnetosphere]', 'Ionospheric plasma density', 'Radio wave receiver [in LEO and cross magnetosphere]']}}}}	1	None|None|None
735	dslp	DSLP	Dual Segmented Langmuir Probe	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electric field sensor [in LEO and cross magnetosphere]', 'Ionospheric electron density sensor [in LEO and cross magnetosphere]', 'Ionospheric plasma density']}}}}	1	None|None|None|None
736	rt_2	RT-2	Roentgen Telescope-2	ISRO	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar X-ray spectrometer [from L1, GEO, LEO]']}}}}	1	None|None
737	penguin_m	Penguin-M	Hard X-ray polarimeter-spectrometer	Roscosmos	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar X-ray spectrometer [from L1, GEO, LEO]']}}}}	1	None|None
738	konus_rf	Konus-RF	X-ray and gamma-ray spectrometer	Roscosmos	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar X-ray spectrometer [from L1, GEO, LEO]']}}}}	1	None|None
739	brm	BRM	Fast X-ray Monitor	Roscosmos	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	[]	1	None
740	phoka	PHOKA	Multi-channel ultraviolet monitor	Roscosmos	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar UV imager [from L1, GEO, LEO]']}}}}	1	None|None|None
741	tesis	TESIS	Telescope-spectrometer for imaging solar spectroscopy in X-rays	Roscosmos	Solar activity monitor	Solar and space environment monitors|Solar activity monitor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'41': {'name': 'Solar magnetograph, solar EUV/X-ray imagery and EUV/X-ray irradiance, both on the Earth-Sun line and off the Earth-Sun line', 'wigos-filters': ['Solar X-ray spectrometer [from L1, GEO, LEO]']}}}}	1	
742	electron_m_pesca	Electron-M-PESCA	Charged particle analyzer	Roscosmos	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	[]	1	
743	step_f	STEP-F	Satellite telescope of electrons and protons	NSAU	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at LEO', 'Proton sensor at LEO', 'Alpha-particle sensor at LEO']}}}}	1	None|None|None
744	mgf	MGF	Magnetic Field Measurement	JAXA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]']}}}}	1	None
745	hep	HEP	High Energy Particles Experiment	JAXA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Proton sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}}	1	None|None|None|None|None
746	lep	LEP	Low Energy Particles Experiment	JAXA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Proton sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	1	
747	pwi	PWI	Plasma Waves Investigation	JAXA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]', 'Electric field sensor [in LEO and cross magnetosphere]', 'Ionospheric electron density sensor [in LEO and cross magnetosphere]', 'Ionospheric plasma density']}}}}	1	None|None|None|None
748	epic	EPIC	Energetic Particle and Ion Composition Experiment	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	1	None|None|None
749	cpi	CPI	Comprehensive Plasma Investigation	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Proton sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	1	
750	efi_polar	EFI (Polar)	Electric Fields Instrument	NASA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electric field sensor [in LEO and cross magnetosphere]']}}}}	1	None
751	pwi_polar	PWI (Polar)	Plasma Wave Instrument	NASA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]', 'Electric field sensor [in LEO and cross magnetosphere]']}}}}	1	None|None|None|None
752	hydra	HYDRA	Hot Plasma Analyzer Experiment	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]']}}}}	1	
753	tide_psi	TIDE/PSI	Thermal Ion Dynamics Experiment / Plasma Source Investigation	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Heavy ion sensor [cross magnetosphere]']}}}}	1	
754	timas	TIMAS	Toroidal Imaging Mass-Angle Spectrograph	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Heavy ion sensor [cross magnetosphere]']}}}}	1	
755	cammice	CAMMICE	Charge and Mass Magnetospheric Ion Composition Experiment	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Heavy ion sensor [cross magnetosphere]']}}}}	1	None|None|None|None
756	ceppad	CEPPAD	Comprehensive Energetic-Particle Pitch Angle Distribution	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Proton sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}}	1	
757	uvi	UVI	Ultraviolet Imager	NASA	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	[]	1	None|None|None|None
758	vis	VIS	Visible Imaging System	NASA	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	[]	1	None
759	pixie	PIXIE	Polar Ionospheric X-ray Imaging Experiment	NASA	Space radiometer or spectrometer	Solar and space environment monitors|Space radiometer or spectrometer	[]	1	None|None
760	fgm	FGM	Fluxgate Magnetometer	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]']}}}}	0	None
761	staff	STAFF	Spatio-Temporal Analysis of Field Fluctuations	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]', 'Electric field sensor [in LEO and cross magnetosphere]', 'Ionospheric electron density sensor [in LEO and cross magnetosphere]', 'Ionospheric plasma density']}}}}	0	None|None|None|None
762	whisper	WHISPER	Waves of High Frequency and Sounder for Probing of Density by Relaxation	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electric field sensor [in LEO and cross magnetosphere]', 'Ionospheric plasma density']}}}}	0	
763	wbd	WBD	Wide Band Data	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]', 'Electric field sensor [in LEO and cross magnetosphere]', 'Ionospheric electron density sensor [in LEO and cross magnetosphere]', 'Ionospheric plasma density']}}}}	0	None|None
765	edi	EDI	Electron Drift Instrument	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]', 'Electric field sensor [in LEO and cross magnetosphere]']}}}}	0	None|None
766	cis	CIS	Cluster Ion Spectrometry experiment	CNES	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Proton sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	0	
767	peace	PEACE	Plasma Electron and Current Analyzer	ESA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]']}}}}	0	None
768	rapid	RAPID	Research with Adaptive Particle Imaging Detectors	ESA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	0	
769	aspoc	ASPOC	Active Spacecraft Potential Control	ESA	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	[]	0	None
770	esa	ESA	Electrostatic Analyzer	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Proton sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	0	
771	sst	SST	Solid State Telescope	NASA	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Electron sensor [cross magnetosphere]', 'Proton sensor [cross magnetosphere]', 'Alpha-particle sensor [cross magnetosphere]', 'Heavy ion sensor [cross magnetosphere]']}}}, 'Subcomponent 3': {'name': 'Subcomponent 3', 'wigos-classification': {'52': {'name': 'Neutral and Ion Mass Spectrometer', 'wigos-filters': ['Heavy ions mass spectrometer [from LEO and HEO]']}}}}	0	
