# WMO OSCAR/Space 对地观测仪器目录
# 来源: https://space.oscar.wmo.int/api/v1/instruments（42 页）
# 文档: https://space.oscar.wmo.int/apidoc/
# 许可: 可自由使用与再分发，须致谢 WMO；WMO 不对准确性作担保
# 署名: WMO OSCAR/Space, https://space.oscar.wmo.int/
# 生成: python scripts/fetch_oscar_instruments.py   —— 请勿手工编辑
#
# 每行 10 列，制表符分隔: oscar_id	slug	acronym	fullname	agency	instrument_type	classification	wigos_subcomponent	satellite_count	variables
49	asm	ASM	Absolute Scalar Magnetometer	CNES	Field or radiowave sensor	Solar and space environment monitors|Field or radiowave sensor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Magnetometer at LEO']}}}, 'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'44': {'name': 'Magnetospheric energetic particles and magnetometers', 'wigos-filters': ['Geomagnetic field sensor [in LEO and cross magnetosphere]']}}}}	3	None
50	aster	ASTER	Advanced Spaceborne Thermal Emission and Reflection radiometer	METI	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	
51	atlas	ATLAS	Advanced Topographic Laser Altimeter System	NASA	Space lidar	Earth observation instrument|Active and radio-occultation sensor|Lidar (Doppler lidar, backscatter lidar, lidar Dial, lidar altimeter)	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'32': {'name': 'Lidar (single wavelength) (in addition to radar missions mentioned in Component 1)', 'wigos-filters': ['Lidar (Altimeter - for surface)']}}}}	1	
52	atlid	ATLID	Atmospheric Lidar	ESA	Space lidar	Earth observation instrument|Active and radio-occultation sensor|Lidar (Doppler lidar, backscatter lidar, lidar Dial, lidar altimeter)	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'30': {'name': 'Lidar (Doppler and dual/triple-frequency backscatter)', 'wigos-filters': ['Lidar (Backscatter - for atmosphere) ']}}}}	1	
53	atms	ATMS	Advanced Technology Microwave Sounder	NOAA	Microwave cross-track scanning radiometer	Earth observation instrument|Passive microwave radiometer|Cross-track, special or non-scanning microwave radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'6': {'name': 'MW sounders [in SSO]', 'wigos-filters': ['MW sounder [in SSO] ']}, '14': {'name': 'MW cross-track upper stratospheric and mesospheric sounders', 'wigos-filters': ['\tMW cross-track upper stratospheric and mesospheric sounder']}}}}	0	
55	atsr	ATSR	Along-Track Scanning Radiometer	UKSA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'11': {'name': 'IR dual-angle view imagers', 'wigos-filters': ['IR dual-angle view imager']}}}}	1	
56	atsr_2	ATSR-2	Along-Track Scanning Radiometer - 2	UKSA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'11': {'name': 'IR dual-angle view imagers', 'wigos-filters': ['IR dual-angle view imager']}}}}	1	
57	avcs	AVCS	Advanced Vidicon Camera System	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	[]	0	None|None|None|None
60	avhrr	AVHRR	Advanced Very High Resolution Radiometer	NOAA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'7': {'name': 'VIS/IR imagery; realisation of a Day/Night band [in SSO]', 'wigos-filters': ['VIS/IR imager [in SSO] ']}}}}	0	
61	avhrr_2	AVHRR/2	Advanced Very High Resolution Radiometer / 2	NOAA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'7': {'name': 'VIS/IR imagery; realisation of a Day/Night band [in SSO]', 'wigos-filters': ['VIS/IR imager [in SSO] ']}}}}	0	
62	avhrr_3	AVHRR/3	Advanced Very High Resolution Radiometer / 3	NOAA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'7': {'name': 'VIS/IR imagery; realisation of a Day/Night band [in SSO]', 'wigos-filters': ['VIS/IR imager [in SSO] ']}}}}	0	
64	avnir	AVNIR	Advanced Visible and Near-Infrared Radiometer	JAXA	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	
65	avnir_2	AVNIR-2	Advanced Visible and Near-Infrared Radiometer - 2	JAXA	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	
66	awfi	AWFI	Advanced Wide Field Imager	INPE	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	2	
67	awifs	AWiFS	Advanced Wide Field Sensor	ISRO	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	3	
