# GeoNames 一级行政区（admin1）参考表
# 来源: https://download.geonames.org/export/dump/admin1CodesASCII.txt（配合 countryInfo.txt 做 ISO2→ISO3 映射）
# 许可: Creative Commons Attribution 4.0 (CC BY 4.0)
# 署名: GeoNames, https://www.geonames.org/
# 生成: python scripts/fetch_geonames_admin1.py    —— 请勿手工编辑
#
# 每行 5 列，制表符分隔: iso3	geonames_code	name	asciiname	geonameid
# geonames_code 形如 KE.01；geonameid 全局唯一，实体 id 以它为准
# 未匹配到 UN M49 国家表而跳过的 ISO2: XK=7
ATG	AG.04	Saint John Parish	Saint John Parish	3576023
ATG	AG.05	Saint Mary Parish	Saint Mary Parish	3576018
ATG	AG.06	Saint Paul Parish	Saint Paul Parish	3576017
ATG	AG.07	Saint Peter Parish	Saint Peter Parish	3576016
ATG	AG.08	Saint Philip Parish	Saint Philip Parish	3576015
AUS	AU.01	Australian Capital Territory	Australian Capital Territory	2177478
AUS	AU.02	New South Wales	New South Wales	2155400
AUS	AU.03	Northern Territory	Northern Territory	2064513
AUS	AU.04	Queensland	Queensland	2152274
AUS	AU.05	South Australia	South Australia	2061327
AUS	AU.06	Tasmania	Tasmania	2147291
AUS	AU.07	Victoria	Victoria	2145234
AUS	AU.08	Western Australia	Western Australia	2058645
AUT	AT.01	Burgenland	Burgenland	2781194
AUT	AT.02	Carinthia	Carinthia	2774686
AUT	AT.03	Lower Austria	Lower Austria	2770542
AUT	AT.05	Salzburg	Salzburg	2766823
AUT	AT.06	Styria	Styria	2764581
AUT	AT.07	Tyrol	Tyrol	2763586
AUT	AT.04	Upper Austria	Upper Austria	2769848
AUT	AT.09	Vienna	Vienna	2761367
AUT	AT.08	Vorarlberg	Vorarlberg	2762300
AZE	AZ.01	Abşeron	Abseron	587245
AZE	AZ.06	Agsu District	Agsu District	587342
AZE	AZ.08	Astara	Astara	148442
AZE	AZ.02	Ağcabǝdi	Aghjabadi Rayon	148615
AZE	AZ.03	Ağdam	Agdam	148617
AZE	AZ.04	Ağdaş	Agdas	587376
AZE	AZ.05	Ağstafa	Agstafa	828297
AZE	AZ.09	Baki	Baki	587081
AZE	AZ.10	Balakan District	Balakan District	587010
AZE	AZ.11	Barda	Barda	587056
AZE	AZ.12	Beyləqan	Beylaqan	146879
AZE	AZ.13	Bilasuvar District	Bilasuvar District	147310
AZE	AZ.16	Daşkǝsǝn	Dashkasan Rayon	586771
AZE	AZ.18	Fuzuli District	Fuzuli District	148107
AZE	AZ.19	Gadabay District	Gadabay District	627535
AZE	AZ.21	Goranboy District	Goranboy District	586112
AZE	AZ.62	Goygol Rayon	Goygol Rayon	585967
AZE	AZ.22	Göyçay	Goeycay	586482
AZE	AZ.20	Gǝncǝ	Ganja City	828298
